month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202110,22001,"acadia, la",174500,-0.0935,0.0906,68,0.0149,-0.2093,74,-0.063291139,-0.186813187,28,1.3333,0.4,0,,,28,0.4,0.75,48,0.1163,0,90.7971864,0.0411,0.0488,1830,-0.0746,0.0861,208739.3108,-0.013,0.0531,116,0.0545,-0.1343,0.705882353,0.0641,0.1477
202110,51107,"loudoun, va",639000,0.0143,0.0652,456,-0.0934,-0.0617,33,0.047619048,-0.083333333,408,-0.25,-0.1905,28,-0.3,-0.72,144,-0.1818,0.0909,731,-0.0793,-0.1967,255.5555556,-0.0047,0.1141,2486,0.0075,-0.0504,824949.5184,0.0219,0.0752,1187,-0.0848,-0.1497,1.603070175,0.0245,-0.2694
202110,9001,"fairfield, ct",849999,0.0012,0.1888,2812,-0.0689,-0.5233,64,0.05785124,0.254901961,1244,-0.0342,-0.2916,48,0.3333,-0.5714,628,-0.0977,-0.296,2483,-0.0534,13.6923,357.0365963,-0.0119,0.2673,2400,-0.0033,-0.0957,1888043,0.0251,0.2853,5295,-0.0617,-0.1274,0.883001422,0.0145,0.8544
202110,51095,"james city, va",425000,-0.0173,-0.0339,389,-0.0299,-0.5095,36,0.014084507,-0.409836066,296,0.2131,0.0882,12,-0.25,-0.7273,100,0.5625,-0.1379,326,-0.0121,-0.185,185.4443667,0.0096,0.1084,2400,-0.0266,-0.0871,560423.8768,-0.007,0.0793,715,-0.0219,-0.4007,0.838046272,0.0151,0.3336
202110,6007,"butte, ca",449000,0.0322,0.1253,358,0.0377,0.056,46,-0.089108911,-0.06122449,168,-0.2632,-0.1765,4,,-0.5,148,0.3704,0.9474,295,0.0351,-0.081,263.9696647,0.0331,0.1477,1703,0.0068,-0.0257,536080.3852,0.0776,0.132,653,0.0365,-0.0106,0.824022346,-0.0021,-0.1229
202110,53035,"kitsap, wa",599000,0.0204,0.2505,306,-0.0065,-0.1818,37,0.027777778,0.15625,316,0.0128,-0.092,8,-0.3333,-0.3333,124,0.1923,0.1481,613,-0.0496,-0.0655,284.0909091,0.0277,0.1283,2057,-0.0022,0.041,734549.2019,0.0129,0.0549,919,-0.0357,-0.1078,2.003267974,-0.0909,0.2493
202110,39147,"seneca, oh",125000,-0.0487,0.1905,112,-0.0588,0.0874,67,0.31372549,-0.211764706,40,-0.1667,0,16,0,0.3333,52,0.3,0.625,119,0.0259,0.1667,86.47058824,0.0003,0.236,1518,-0.0203,-0.0269,153786.5,-0.0795,-0.0642,231,-0.017,0.1268,1.0625,0.0877,0.0722
202110,36013,"chautauqua, ny",154900,-0.0465,-0.0304,445,0.0023,-0.1359,380,0.090387374,22.75,108,-0.069,-0.2059,4,,,64,0.7778,-0.36,128,-0.0448,-0.1847,96.8722467,-0.0543,0.0243,1588,0,-0.0228,214790.9247,-0.0475,-0.047,573,-0.0087,-0.1473,0.287640449,-0.0142,-0.0172
202110,25027,"worcester, ma",409900,-0.0506,0.025,924,-0.0118,-0.1183,29,0,-0.033333333,828,-0.0505,-0.0327,20,0,-0.4444,296,0,0.0725,304,0.0935,-0.1314,234.006734,-0.0074,0.1024,1797,-0.0255,-0.0874,488481.6482,-0.0251,-0.0226,1228,0.0124,-0.1216,0.329004329,0.0317,-0.005
202110,12055,"highlands, fl",255000,0,0.3717,272,0.0502,-0.1111,52,0.094736842,-0.103448276,136,0.0625,0.0303,16,0.3333,1,56,0,0.0769,293,-0.0233,-0.0135,155.9241164,0.0214,0.2765,1572,-0.0245,0.0083,326298.1296,-0.0077,0.3809,565,0.0107,-0.063,1.077205882,-0.0811,0.1066
202110,6057,"nevada, ca",579000,0.0114,0.007,645,0.0626,-0.0903,85,-0.060773481,-0.114583333,236,0,-0.1918,4,0,-0.5,128,-0.0303,0.2308,418,-0.0188,-0.268,297.0633169,0.0164,0.0835,2012,-0.001,-0.0724,879846.5109,-0.0207,0.0405,1063,0.029,-0.1695,0.648062016,-0.0538,-0.1573
202110,31055,"douglas, ne",274500,-0.0195,-0.0368,785,0.0208,-0.0285,35,0.060606061,-0.186046512,748,0.0331,0.0747,20,0,-0.6429,248,0.1698,0.4419,1563,-0.0151,-0.116,143.4511435,0,0.0589,1930,0.0023,-0.0113,364124.886,0,-0.0472,2348,-0.0034,-0.0885,1.991082803,-0.0726,-0.197
202110,25021,"norfolk, ma",714900,0.0214,0.0286,807,-0.0289,-0.3275,28,0.018181818,-0.222222222,656,-0.2442,-0.3021,28,-0.125,-0.2222,244,0.0167,-0.4135,226,0.1472,-0.218,378.3783784,0.0044,0.0386,1917,-0.0078,-0.0067,1053240.004,0.0073,-0.0126,1033,0.0049,-0.3062,0.280049566,0.043,0.0392
202110,36085,"richmond, ny",675000,0,0.125,1222,-0.0505,-0.2709,64,0.066666667,0.122807018,464,-0.1077,-0.1594,16,0,-0.3333,316,-0.0125,-0.4698,582,0.0283,-0.0777,401.3327275,-0.0054,0.0503,1552,-0.0051,0.0601,784056.5715,-0.0159,0.1158,1804,-0.0264,-0.218,0.476268412,0.0365,0.0998
202110,28033,"desoto, ms",349000,-0.0328,0.0265,343,0.7772,0.4784,16,-0.483870968,-0.567567568,220,0.3095,0.3415,16,1,-0.3333,36,-0.1,-0.4,1406,0.8283,0.8379,144.0996325,0.0208,0.2493,2458,-0.0294,-0.0546,383865.6453,-0.0164,0.0699,1749,0.8181,0.7543,4.099125364,0.1147,0.8017
202110,36061,"new york, ny",1500000,0,0.0791,12562,0.1038,-0.0234,54,0.384615385,-0.142857143,2908,-0.3089,-0.387,220,0.3415,2.9286,1976,0.0624,-0.2412,6626,-0.005,1.277,956.5217391,-0.0055,0.0301,723,-0.0062,0.0028,3382918.277,0.0012,0.2288,19188,0.0636,0.2165,0.52746378,-0.0576,0.3012
202110,42013,"blair, pa",149900,-0.0073,0,160,0.0191,-0.3443,39,0.181818182,-0.204081633,80,-0.1667,-0.1667,0,,-1,72,0,-0.1429,17,0,0.3077,48.80434783,0.0493,0.1027,1241,0.0094,0.0342,199533.6614,0.0647,-0.0207,177,0.0172,-0.3113,0.10625,-0.002,0.053
202110,6013,"contra costa, ca",759000,-0.0206,0.0469,1129,-0.025,-0.1556,29,0.01754386,-0.064516129,1296,-0.027,-0.1025,56,0.5556,0.0769,280,-0.0667,-0.0909,1664,0.0323,-0.1942,465.2739308,-0.0085,0.0326,1741,-0.0133,-0.0246,1046661.721,-0.0381,-0.0387,2793,0.0083,-0.179,1.473870682,0.0818,-0.0706
202110,48265,"kerr, tx",548000,-0.0009,0.096,222,-0.022,-0.3509,46,0.010989011,-0.292307692,76,-0.2963,-0.2083,0,,-1,36,0,-0.3571,114,-0.0579,-0.0172,225.6097561,0.0094,0.1452,2268,-0.0024,-0.0942,1039929.044,0.0141,0.1115,336,-0.0345,-0.2664,0.513513514,-0.0195,0.1743
202110,26115,"monroe, mi",239900,-0.0317,0.043,196,-0.105,-0.0711,45,0.168831169,-0.134615385,136,-0.0811,0.2143,8,0,0,88,-0.2143,0.1579,249,-0.0846,-0.0604,143.9701174,-0.0276,0.0838,1660,-0.0224,-0.0487,287875.9077,-0.0064,0.1203,445,-0.0937,-0.0651,1.270408163,0.0284,0.0145
